"The Beautiful Name / الاسم الحسن","Number / الرقم","Brief Meaning / المعنى المختصر","Ta'wil / التأويل","Quranic Reference / المرجع القرآني","Verse → Ayah / الآية","Dhikr Formula / صيغة الذكر","Pronunciation","Phonetics"
"Al-Muqaddim (المقدم)","71","The Expediter; The One who brings forward","📿 SHARĪ'A - Allah brings forward whom He wills in rank, time, and spiritual station. He advances matters according to His wisdom.

🚶 ṬARĪQA - Seek advancement through Him alone. Put your best forward. Recite ""Yā Muqaddim"" to be brought forward in goodness.

💎 ḤAQĪQA - His bringing forward is perfect timing. What seems delayed is waiting for its perfect moment to be advanced.

🌟 MA'RIFA - The mystic understands divine timing, neither rushing ahead nor lagging behind, moving in perfect sync with Al-Muqaddim.","He brings forward whom He wills and delays whom He wills (14:10); And We have certainly written in the Psalms after the reminder (21:105)","Ibrahim 14:10; Al-Anbiya 21:105","Basic: يا مقدم (Yā Muqaddim) Advancement: 184 times Paired with Al-Mu'akhkhir","al-mu-QAD-dim","'mu' soft, 'QAD' stressed"
"Al-Mu'akhkhir (المؤخر)","72","The Delayer; The One who puts behind","📿 SHARĪ'A - Allah delays what He wills according to perfect wisdom. His delays are not denials but divine timing.

🚶 ṬARĪQA - Accept divine delays. Trust His timing over yours. Recite ""Yā Mu'akhkhir"" to understand divine postponement.

💎 ḤAQĪQA - Delay is preparation. He delays blessings until you're ready, harm until you're strong. Perfect timing in apparent delay.

🌟 MA'RIFA - The sage sees no delay, understanding that everything arrives at its appointed time in Al-Mu'akhkhir's perfect schedule.","And if Allah were to hasten for people the evil they invoke as they hasten for good (10:11); He delays them for a specified term (16:61)","Yunus 10:11; An-Nahl 16:61","Basic: يا مؤخر (Yā Mu'akhkhir) Patience: 846 times With Al-Muqaddim","al-mu-AKH-khir","'AKH' guttural, 'khir' soft"
"Al-Awwal (الأول)","73","The First; The One before whom nothing existed","📿 SHARĪ'A - Allah is the First with no beginning. Nothing preceded Him. He exists before time and creation itself.

🚶 ṬARĪQA - Put Him first in everything. Begin with His name. Recite ""Yā Awwal"" to connect with the Source of all beginnings.

💎 ḤAQĪQA - His firstness is not temporal but essential. He is eternally First, the Origin from which all originates.

🌟 MA'RIFA - The mystic returns to the First, finding their beginning in Him, realizing they existed in His knowledge before creation.","He is the First and the Last, the Manifest and the Hidden (57:3); And that to your Lord is the finality (53:42)","Al-Hadid 57:3; An-Najm 53:42","Basic: يا أول (Yā Awwal) Beginning: 37 times Dawn prayer","al-AW-wal","'AW' as 'ow', 'wal' soft"
"Al-Akhir (الآخر)","74","The Last; The One who remains after all perishes","📿 SHARĪ'A - Allah is the Last without end. He remains when all creation perishes. Everything returns to Him.

🚶 ṬARĪQA - Remember your return to Him. Make Him your final goal. Recite ""Yā Ākhir"" to focus on the ultimate end.

💎 ḤAQĪQA - His being Last encompasses all endings. Every conclusion leads to Al-Akhir. The end is return to the Beginning.

🌟 MA'RIFA - The mystic lives in the eternal present where Al-Awwal and Al-Akhir meet, finding eternity in the timeless moment.","He is the First and the Last, the Manifest and the Hidden (57:3); Everything will be destroyed except His Face (28:88)","Al-Hadid 57:3; Al-Qasas 28:88","Basic: يا آخر (Yā Ākhir) Finality: 801 times With Al-Awwal","al-AA-khir","'AA' long, 'khir' guttural"
"Az-Zahir (الظاهر)","75","The Manifest; The Evident; The One clear through His signs","📿 SHARĪ'A - Allah is manifest through His creation. His signs are evident everywhere for those who reflect.

🚶 ṬARĪQA - See Him in all manifestation. Recognize His signs everywhere. Recite ""Yā Ẓāhir"" to perceive divine presence.

💎 ḤAQĪQA - His manifestation is both revealing and veiling. He shows Himself through forms that simultaneously hide Him.

🌟 MA'RIFA - The mystic sees only Az-Zahir manifesting through all forms, the Evident One evident in everything.","He is the First and the Last, the Manifest and the Hidden (57:3); We will show them Our signs in the horizons and within themselves (41:53)","Al-Hadid 57:3; Fussilat 41:53","Basic: يا ظاهر (Yā Ẓāhir) Clarity: 1,106 times With Al-Batin","azh-ZHAA-hir","'ZH' emphatic, 'AA' long"
"Al-Batin (الباطن)","76","The Hidden; The Inner; The One not perceived by senses","📿 SHARĪ'A - Allah is hidden from direct perception. He is closer than manifest yet more hidden than the hidden.

🚶 ṬARĪQA - Seek the Hidden in the apparent. Look within for Him. Recite ""Yā Bāṭin"" to develop inner vision.

💎 ḤAQĪQA - His hiddenness is extreme nearness. So close He cannot be seen, like eyes unable to see themselves.

🌟 MA'RIFA - The mystic finds the Hidden One within their own heart, discovering the secret of 'I am his hearing and sight.'","He is the First and the Last, the Manifest and the Hidden (57:3); And We are closer to him than [his] jugular vein (50:16)","Al-Hadid 57:3; Qaf 50:16","Basic: يا باطن (Yā Bāṭin) Inner sight: 62 times Meditation practice","al-BAA-tin","'BAA' long, 'tin' soft"
"Al-Waali (الوالي)","77","The Governor; The Protector; The One who manages all affairs","📿 SHARĪ'A - Allah governs all creation with perfect wisdom. He is the true ruler managing every detail of existence.

🚶 ṬARĪQA - Submit to His governance. Let Him manage your affairs. Recite ""Yā Wālī"" to accept divine management.

💎 ḤAQĪQA - His governance operates through all levels - from atoms to galaxies, from thoughts to destinies.

🌟 MA'RIFA - The saint becomes a governor through Al-Waali, managing others' affairs through divine authorization.","And He is the Protector, the Praiseworthy (42:28); Indeed, my Protector is Allah, who has sent down the Book (7:196)","Ash-Shuraa 42:28; Al-A'raf 7:196","Basic: يا والي (Yā Wālī) Governance: 47 times Leadership prayer","al-WAA-lee","'WAA' long, 'lee' soft"
"Al-Muta'ali (المتعالي)","78","The Supreme; The Exalted; The One above all defects","📿 SHARĪ'A - Allah is supremely exalted above all imperfection. He transcends all limitations and comparisons.

🚶 ṬARĪQA - Exalt Him above all else. Transcend lowly concerns. Recite ""Yā Muta'ālī"" to rise above worldly attachments.

💎 ḤAQĪQA - His transcendence includes immanence. The Most High is also the Most Near, beyond includes within.

🌟 MA'RIFA - The mystic ascends to Al-Muta'ali by descending in humility, finding the highest in the lowest station.","Knower of the unseen and the witnessed, the Grand, the Exalted (13:9); Exalted is He above what they associate (23:92)","Ar-Ra'd 13:9; Al-Mu'minun 23:92","Basic: يا متعالي (Yā Muta'ālī) Transcendence: 551 times Night ascension","al-mu-ta-'AA-lee","'ta' soft, 'AA' very long"
"Al-Barr (البر)","79","The Good; The Source of Goodness; The Kind Benefactor","📿 SHARĪ'A - Allah is the source of all goodness and kindness. His beneficence encompasses all creation continuously.

🚶 ṬARĪQA - Be good to all as He is good to you. Spread kindness. Recite ""Yā Barr"" to embody divine goodness.

💎 ḤAQĪQA - All goodness in creation flows from Al-Barr. Any kindness shown is His kindness flowing through vessels.

🌟 MA'RIFA - The saint becomes pure goodness, unable to see or produce anything but good, merged with Al-Barr.","Indeed, we used to supplicate Him before. Indeed, it is He who is the Beneficent, the Merciful (52:28); Indeed, He is Kind and Merciful to the believers (33:43)","At-Tur 52:28; Al-Ahzab 33:43","Basic: يا بر (Yā Barr) Kindness: 202 times After helping others","al-BARR","'B' soft, 'ARR' rolled"
"At-Tawwab (التواب)","80","The Acceptor of Repentance; The One who constantly turns to forgive","📿 SHARĪ'A - Allah continuously accepts repentance. He turns toward those who turn to Him, forgiving repeatedly.

🚶 ṬARĪQA - Repent constantly. Turn to Him in every moment. Recite ""Yā Tawwāb"" with each return to Him.

💎 ḤAQĪQA - His turning to you precedes your turning to Him. He inspires repentance for sins He wants to forgive.

🌟 MA'RIFA - The mystic lives in constant tawbah, each moment a turning from all that is not Him to All That Is.","Indeed, it is He who accepts repentance from His servants (9:104); Then He turned to them so they could repent. Indeed, Allah is the Accepting of repentance (9:118)","At-Tawbah 9:104, 9:118","Basic: يا تواب (Yā Tawwāb) Repentance: 360 times After sins","at-taw-WAAB","'taw' soft, 'WAAB' long"
"Al-Muntaqim (المنتقم)","81","The Avenger; The One who punishes wrongdoers","📿 SHARĪ'A - Allah takes perfect retribution against oppressors and those who reject truth. His vengeance is justice enacted.

🚶 ṬARĪQA - Leave revenge to Him. Fear His retribution. Recite ""Yā Muntaqim"" for protection from oppression and from oppressing.

💎 ḤAQĪQA - His vengeance is ultimately mercy - stopping oppressors from accumulating more sin, awakening the heedless.

🌟 MA'RIFA - The mystic sees divine justice in all events, understanding that Al-Muntaqim's vengeance purifies and corrects.","Indeed, We will take retribution upon the criminals (32:22); And whoever avenges himself after having been wronged - those have not upon them any cause [for blame] (42:41)","As-Sajdah 32:22; Ash-Shuraa 42:41","Basic: يا منتقم (Yā Muntaqim) Justice: 630 times Against oppression","al-mun-TA-qim","'mun' soft, 'TA' stressed"
"Al-Afuww (العفو)","82","The Pardoner; The One who erases sins completely","📿 SHARĪ'A - Allah not only forgives but erases sins completely. His pardon removes all traces as if the sin never existed.

🚶 ṬARĪQA - Pardon others completely. Erase grudges. Recite ""Yā 'Afuww"" to receive and give complete pardon.

💎 ḤAQĪQA - His pardoning is so complete that He makes you forget the sin. True pardon erases even the memory.

🌟 MA'RIFA - The mystic experiences sins transformed into lights through Al-Afuww's alchemy, each pardoned sin becoming wisdom.","Indeed, Allah is Pardoning and Forgiving (4:43); Whether you show what is within yourselves or conceal it, Allah will bring you to account for it. Then He will forgive whom He wills (2:284)","An-Nisa 4:43; Al-Baqarah 2:284","Basic: يا عفو (Yā 'Afuww) Night of Power: اللهم إنك عفو Pardon: 156 times","al-'a-FUWW","Guttural 'a', 'FUWW' doubled"
"Ar-Ra'uf (الرؤوف)","83","The Compassionate; The One with extreme compassion","📿 SHARĪ'A - Allah's compassion is perfect and specific. He shows special tenderness to believers while being merciful to all.

🚶 ṬARĪQA - Develop tender compassion. Be gentle with all creatures. Recite ""Yā Ra'ūf"" to soften your heart.

💎 ḤAQĪQA - His compassion operates even through apparent harshness. The surgeon's cut is Ar-Ra'uf's healing.

🌟 MA'RIFA - The saint embodies divine compassion so fully they feel others' pain as their own, healing through shared suffering.","And never would Allah have caused you to lose your faith. Indeed Allah is, to the people, Kind and Merciful (2:143); Your Lord is Kind and Merciful (16:47)","Al-Baqarah 2:143; An-Nahl 16:47","Basic: يا رؤوف (Yā Ra'ūf) Compassion: 286 times When helping the suffering","ar-ra-OOF","'ra' rolled, 'OOF' as 'oof'"
"Malik-ul-Mulk (مالك الملك)","84","The Owner of Sovereignty; The Master of the Kingdom","📿 SHARĪ'A - Allah owns all sovereignty. He gives and takes kingdoms as He wills. All dominion belongs to Him.

🚶 ṬARĪQA - Recognize His ultimate ownership. Be a trustee, not owner. Recite ""Yā Mālik al-Mulk"" to understand true sovereignty.

💎 ḤAQĪQA - All kingdoms are dust before His Kingdom. Earthly power is shadow; His sovereignty is the only reality.

🌟 MA'RIFA - The mystic rules by surrendering rulership to Malik-ul-Mulk, becoming a throne for the True King.","Say, 'O Allah, Owner of Sovereignty, You give sovereignty to whom You will and take sovereignty away from whom You will' (3:26)","Aal-Imran 3:26","Basic: يا مالك الملك Power transfer: 212 times Friday after Jumu'ah","MAA-lik-ul-mulk","All parts stressed equally"
"Dhul-Jalali-Wal-Ikram (ذو الجلال والإكرام)","85","The Lord of Majesty and Generosity; Possessor of Glory and Honor","📿 SHARĪ'A - Allah combines perfect majesty that inspires awe with generous bounty that attracts love. Glory and generosity united.

🚶 ṬARĪQA - Balance awe and intimacy in worship. Be majestic yet generous. Recite this name for complete divine connection.

💎 ḤAQĪQA - His majesty IS His generosity. The same attribute that awes also embraces. Fear and love unite in perfect balance.

🌟 MA'RIFA - The mystic embodies both aspects - awesome in spiritual presence yet infinitely kind, reflecting divine paradox.","Blessed is the name of your Lord, Owner of Majesty and Honor (55:78); And there will remain the Face of your Lord, Owner of Majesty and Honor (55:27)","Ar-Rahman 55:78, 55:27","Full: يا ذا الجلال والإكرام After prayers Sacred formula: 100 times","dhul-ja-LAA-li-wal-ik-RAAM","Majestic pronunciation"
"Al-Muqsit (المقسط)","86","The Equitable; The Just One who deals justly","📿 SHARĪ'A - Allah acts with perfect equity. His justice considers all factors with complete wisdom and fairness.

🚶 ṬARĪQA - Be equitable in all dealings. Balance justice with mercy. Recite ""Yā Muqsiṭ"" to embody divine equity.

💎 ḤAQĪQA - His equity includes apparent inequity. Different treatment for different needs is perfect justice.

🌟 MA'RIFA - The realized soul sees perfect equity in existence, understanding each receives exactly what perfects them.","Indeed, Allah commands justice and good conduct (16:90); Indeed, Allah loves those who act justly (5:42)","An-Nahl 16:90; Al-Ma'idah 5:42","Basic: يا مقسط (Yā Muqsiṭ) Justice: 209 times Before judgments","al-MUQ-sit","'MUQ' deep q, 'sit' clear"
"Al-Jami (الجامع)","87","The Gatherer; The One who gathers all on Judgment Day","📿 SHARĪ'A - Allah will gather all creation for judgment. He also gathers hearts, provisions, and all dispersed things.

🚶 ṬARĪQA - Gather your scattered heart on Him. Unite your concerns in Him. Recite ""Yā Jāmi'"" for spiritual collection.

💎 ḤAQĪQA - He gathers by dispersing and disperses to gather. Separation is preparation for a greater union.

🌟 MA'RIFA - The mystic gathers all existence in their heart, becoming a gathering place for divine manifestations.","Our Lord, surely You will gather the people for a Day about which there is no doubt (3:9); Say, 'Allah will gather you' (45:26)","Aal-Imran 3:9; Al-Jathiyah 45:26","Basic: يا جامع (Yā Jāmi') Gathering: 114 times For unity","al-JAA-mi'","'JAA' long, glottal stop"
"Al-Ghani (الغني)","88","The Self-Sufficient; The Rich; The One needing nothing","📿 SHARĪ'A - Allah is absolutely self-sufficient, needing nothing from creation. His richness is essential and infinite.

🚶 ṬARĪQA - Seek richness through Him. Need Him alone. Recite ""Yā Ghanī"" to be enriched and become self-sufficient.

💎 ḤAQĪQA - True richness is needing nothing. The richest is who needs only Al-Ghani, finding all riches in Him.

🌟 MA'RIFA - The mystic becomes rich by becoming poor, needing nothing because they have Everything in Al-Ghani.","And Allah is the Self-Sufficient, and you are the needy (47:38); O mankind, you are those in need of Allah, while Allah is the Self-Sufficient, the Praiseworthy (35:15)","Muhammad 47:38; Fatir 35:15","Basic: يا غني (Yā Ghanī) Enrichment: 1,060 times For sufficiency","al-gha-NEE","'gha' guttural, 'NEE' long"
"Al-Mughni (المغني)","89","The Enricher; The One who enriches whom He wills","📿 SHARĪ'A - Allah enriches whom He wills with wealth, knowledge, faith, and contentment. He is the source of all enrichment.

🚶 ṬARĪQA - Seek enrichment through Him alone. Be content with His giving. Recite ""Yā Mughnī"" to be truly enriched.

💎 ḤAQĪQA - His enriching transcends material wealth. He enriches hearts with contentment worth more than treasures.

🌟 MA'RIFA - The saint enriches others while owning nothing, distributing Al-Mughni's wealth without diminishing it.","And that it is He who enriches and suffices (53:48); And He found you poor and made [you] self-sufficient (93:8)","An-Najm 53:48; Ad-Duha 93:8","Basic: يا مغني (Yā Mughnī) Wealth: 1,121 times Friday morning","al-mugh-NEE","'mugh' soft, 'NEE' long"
"Al-Mani' (المانع)","90","The Preventer; The Withholder; The One who prevents harm","📿 SHARĪ'A - Allah prevents what He wills from reaching His servants. His prevention is protection and wisdom.

🚶 ṬARĪQA - Accept His prevention as protection. Trust what He withholds. Recite ""Yā Māni'"" understanding divine protection.

💎 ḤAQĪQA - His preventing is giving. By preventing one thing, He gives something better. Closed doors hide divine mercy.

🌟 MA'RIFA - The mystic sees prevention as provision, grateful for what doesn't happen as much as what does.","There is no preventer of what You have given (3:26); Say, 'Who can prevent Allah if He intends harm?' (5:17)","Aal-Imran 3:26; Al-Ma'idah 5:17","Basic: يا مانع (Yā Māni')

Protection: 161 times When seeking prevention","al-MAA-ni'","'MAA' long, glottal stop"
"Ad-Darr (الضار)","91","The Distressor; The One who creates harm for wisdom","📿 SHARĪ'A - Allah creates harm and trials as tests and purification. His harm is purposeful, leading to greater good.

🚶 ṬARĪQA - Accept trials as divine wisdom. See harm as hidden help. Recite ""Yā Ḍārr"" understanding divine purpose in difficulties.

💎 ḤAQĪQA - His harming is healing. Like medicine that burns to cure, Ad-Darr's trials perfect and purify souls.

🌟 MA'RIFA - The mystic embraces divine trials as love letters, seeing Ad-Darr's compassion in every difficulty.","Say, 'I possess not for myself any harm or benefit except what Allah wills' (10:49); And if Allah touches you with harm, none can remove it but He (6:17)","Yunus 10:49; Al-An'am 6:17","Basic: يا ضار (Yā Ḍārr) With An-Nafi': يا ضار يا نافع Understanding: 91 times","ad-DAARR","Emphatic 'D', 'AARR' long"
"An-Nafi' (النافع)","92","The Benefactor; The One who creates benefit","📿 SHARĪ'A - Allah is the source of all benefit and good. Nothing benefits except by His will and permission.

🚶 ṬARĪQA - Seek benefit through Him alone. Be beneficial to others. Recite ""Yā Nāfi'"" to receive and spread benefit.

💎 ḤAQĪQA - All benefit flows from An-Nafi'. Medicine heals, food nourishes, knowledge illuminates only through Him.

🌟 MA'RIFA - The saint becomes pure benefit, unable to harm, every action flowing from An-Nafi' bringing good.","Say, 'I possess not for myself any harm or benefit except what Allah wills' (7:188); What Allah grants to people of mercy - none can withhold it (35:2)","Al-A'raf 7:188; Fatir 35:2","Basic: يا نافع (Yā Nāfi') For benefit: 92 times Morning and evening","an-NAA-fi'","'NAA' long, glottal stop"
"An-Nur (النور)","93","The Light; The One who illuminates heavens and earth","📿 SHARĪ'A - Allah is the Light of the heavens and earth. He guides to His light whom He wills. All light derives from Him.

🚶 ṬARĪQA - Seek illumination through Him. Polish your heart to reflect His light. Recite ""Yā Nūr"" for spiritual illumination.

💎 ḤAQĪQA - His Light is the reality behind all existence. Forms are shadows; He is the Light casting them.

🌟 MA'RIFA - The mystic becomes transparent to divine light, illuminated and illuminating, a lamp lit by An-Nur.","Allah is the Light of the heavens and the earth. The example of His light is like a niche within which is a lamp (24:35)","An-Nur 24:35","Basic: يا نور (Yā Nūr) Illumination: 256 times Light upon Light","an-NOOR","'n' clear, 'OOR' as 'tour'"
"Al-Hadi (الهادي)","94","The Guide; The One who guides to the straight path","📿 SHARĪ'A - Allah guides whom He wills to the straight path. His guidance is the greatest blessing after existence.

🚶 ṬARĪQA - Seek His guidance constantly. Guide others gently. Recite ""Yā Hādī"" to stay on the straight path.

💎 ḤAQĪQA - His guidance operates through everything - through people, events, even mistakes become guidance.

🌟 MA'RIFA - The guided becomes guide, showing the way by being the way, embodying Al-Hadi's guidance.","Indeed, you [O Muhammad] do not guide whom you like, but Allah guides whom He wills (28:56); And Allah guides whom He wills to a straight path (24:46)","Al-Qasas 28:56; An-Nur 24:46","Basic: يا هادي (Yā Hādī) Guidance: اهدنا الصراط المستقيم Daily: 94 times","al-HAA-dee","'HAA' emphatic, 'dee' soft"
"Al-Badi' (البديع)","95","The Originator; The Incomparable Creator","📿 SHARĪ'A - Allah creates in ways never seen before. His creation is original, without precedent or model.

🚶 ṬARĪQA - Marvel at His creative genius. Be creative in worship. Recite ""Yā Badī'"" to appreciate divine originality.

💎 ḤAQĪQA - Every snowflake, fingerprint, moment is unique. Al-Badi' never repeats Himself, always creating anew.

🌟 MA'RIFA - The mystic sees continuous creation, each moment a new universe emerging from Al-Badi's infinite creativity.","Originator of the heavens and the earth. When He decrees a matter, He only says to it, 'Be,' and it is (2:117)","Al-Baqarah 2:117; Al-An'am 6:101","Basic: يا بديع (Yā Badī') Wonder: 86 times Creative endeavors","al-ba-DEE'","'ba' soft, 'DEE' long, pause"
"Al-Warith (الوارث)","97","The Inheritor; The One who remains after all perish","📿 SHARĪ'A - Allah inherits everything as all returns to Him. He remains when all else perishes, the ultimate inheritor.

🚶 ṬARĪQA - Hold things lightly knowing the True Owner. Invest in what remains. Recite ""Yā Wārith"" to understand true ownership.

💎 ḤAQĪQA - All ownership is temporary custody. Everything returns to Al-Warith. We are trustees, not owners.

🌟 MA'RIFA - The mystic inherits by abandoning inheritance, owning everything by claiming nothing, rich in Al-Warith.","And indeed, it is We who give life and cause death, and We are the Inheritor (15:23); And to Allah belongs the heritage of the heavens and the earth (3:180)","Al-Hijr 15:23; Aal-Imran 3:180","Basic: يا وارث (Yā Wārith) Detachment: 707 times Inheritance wisdom","al-WAA-rith","'WAA' long, 'rith' soft 'th'"
"Ar-Rashid (الرشيد)","98","The Right Guide; The One who guides to right decisions","📿 SHARĪ'A - Allah guides to right conduct and correct decisions. His guidance leads to material and spiritual success.

🚶 ṬARĪQA - Seek right guidance in all decisions. Follow divine direction. Recite ""Yā Rashīd"" for wisdom in choices.

💎 ḤAQĪQA - Every intuition toward good is Ar-Rashid guiding. He guides through inner knowing as much as outer signs.

🌟 MA'RIFA - The sage's every choice aligns with divine will, no longer choosing but flowing with Ar-Rashid's guidance.","Have you not considered that Allah knows what is in the heavens and what is on the earth? (58:7); Perhaps my Lord will guide me to what is nearer than this to right conduct (18:24)","Al-Mujadila 58:7; Al-Kahf 18:24","Basic: يا رشيد (Yā Rashīd) Decisions: 514 times Before choices","ar-ra-SHEED","Rolled 'r', 'SHEED' long"
"As-Sabur (الصبور)","99","The Patient One; The One who does not hasten punishment","📿 SHARĪ'A - Allah is infinitely patient with His servants. He delays punishment, giving time for repentance and return.

🚶 ṬARĪQA - Embody divine patience. Be patient with yourself and others. Recite ""Yā Ṣabūr"" to develop lasting patience.

💎 ḤAQĪQA - His patience is active compassion. Every moment He doesn't punish is an invitation to return to Him.

🌟 MA'RIFA - The mystic mirrors infinite patience, unshakeable in trials, knowing As-Sabur's timing is perfect.","And if Allah were to punish people for what they have earned, He would not leave upon the earth any creature (35:45); And your Lord is Forgiving, full of mercy. If He were to punish them for what they earned, He would hasten for them the punishment (18:58)","Fatir 35:45; Al-Kahf 18:58","Basic: يا صبور (Yā Ṣabūr) Patience: 298 times During trials","as-sa-BOOR","Emphatic 'S', 'BOOR' as 'tour'"
